iter	Logloss	Accuracy
0	0.6873671075	0.811023622
1	0.6815315333	0.811023622
2	0.675967731	0.8121484814
3	0.6708740889	0.8121484814
4	0.6660885786	0.8155230596
5	0.6611789208	0.8155230596
6	0.6565057207	0.8177727784
7	0.6518591271	0.8211473566
8	0.6469597013	0.8155230596
9	0.6427030033	0.8143982002
10	0.6381865974	0.8155230596
11	0.6333917632	0.8143982002
12	0.6284292168	0.8132733408
13	0.6240399319	0.816647919
14	0.6195645399	0.816647919
15	0.6154321892	0.8132733408
16	0.6115694053	0.8132733408
17	0.6072843287	0.8155230596
18	0.6032404735	0.816647919
19	0.5995309887	0.8143982002
20	0.5954666545	0.8155230596
21	0.5932354067	0.8155230596
22	0.5894020454	0.8143982002
23	0.5859399143	0.8155230596
24	0.5822103346	0.8121484814
25	0.5789429048	0.8132733408
26	0.5758139197	0.811023622
27	0.5731279713	0.8132733408
28	0.5701215393	0.8143982002
29	0.5674548003	0.8132733408
30	0.5645654535	0.8121484814
31	0.5615402749	0.816647919
32	0.558427472	0.816647919
33	0.556017545	0.8132733408
34	0.5534481141	0.8121484814
35	0.55063931	0.8121484814
36	0.5483447862	0.8132733408
37	0.5456791755	0.8155230596
38	0.5432426842	0.8132733408
39	0.5409973309	0.8132733408
40	0.5384085136	0.8143982002
41	0.535777645	0.8132733408
42	0.5338441058	0.8121484814
43	0.5325327714	0.8132733408
44	0.5305261735	0.8132733408
45	0.5283079207	0.8132733408
46	0.526519552	0.8132733408
47	0.5246419133	0.8132733408
48	0.5225567083	0.8132733408
49	0.5204902313	0.8155230596
50	0.5182614133	0.8143982002
51	0.5164029578	0.816647919
52	0.5146432986	0.8177727784
53	0.513238708	0.8155230596
54	0.512227216	0.8143982002
55	0.5104444673	0.816647919
56	0.5085535738	0.8177727784
57	0.5067204687	0.816647919
58	0.5058004139	0.816647919
59	0.5048997166	0.8155230596
60	0.5040095619	0.8155230596
61	0.5031466231	0.816647919
62	0.50187422	0.8155230596
63	0.5006650543	0.816647919
64	0.4990710072	0.8155230596
65	0.4973469926	0.8155230596
66	0.4958853358	0.8155230596
67	0.4942957196	0.8155230596
68	0.4927533953	0.8155230596
69	0.4911754708	0.8155230596
70	0.4896533075	0.816647919
71	0.4881445284	0.816647919
72	0.4871079457	0.816647919
73	0.4857232689	0.816647919
74	0.4843610807	0.816647919
75	0.4829877394	0.816647919
76	0.4814648994	0.8177727784
77	0.480216293	0.8188976378
78	0.4788505012	0.8177727784
79	0.4774593598	0.8200224972
80	0.4762993285	0.8188976378
81	0.4752029944	0.8200224972
82	0.4745851407	0.8188976378
83	0.4734462773	0.8188976378
84	0.4721807017	0.8200224972
85	0.4711286155	0.8200224972
86	0.4706536436	0.8200224972
87	0.4696451411	0.8200224972
88	0.4691907347	0.8200224972
89	0.4682151837	0.8200224972
90	0.4672627052	0.8188976378
91	0.4661695675	0.8200224972
92	0.4651865854	0.8200224972
93	0.4641568965	0.8188976378
94	0.4631489506	0.8200224972
95	0.4621373978	0.8200224972
96	0.461333468	0.822272216
97	0.460118283	0.822272216
98	0.4595418149	0.8211473566
99	0.4587840436	0.8211473566
100	0.4578641025	0.8200224972
101	0.4568909089	0.822272216
102	0.4561868314	0.8233970754
103	0.455649248	0.822272216
104	0.4547168489	0.822272216
105	0.4534648206	0.8233970754
106	0.4528836222	0.822272216
107	0.4521693544	0.8200224972
108	0.4514421685	0.822272216
109	0.4509098235	0.8211473566
110	0.4502417081	0.8211473566
111	0.4497214954	0.8211473566
112	0.4491598664	0.8211473566
113	0.4483034472	0.8211473566
114	0.4474506304	0.8211473566
115	0.4462999832	0.8211473566
116	0.4454388404	0.8200224972
117	0.444574484	0.8211473566
118	0.4439217419	0.8200224972
119	0.4430493303	0.8200224972
120	0.4424259609	0.8200224972
121	0.4414683279	0.8200224972
122	0.4404870182	0.8188976378
123	0.4394690755	0.8200224972
124	0.4385062651	0.822272216
125	0.4377174769	0.822272216
126	0.4370490278	0.822272216
127	0.4364201448	0.822272216
128	0.4356329526	0.822272216
129	0.4346163791	0.822272216
130	0.4339148507	0.822272216
131	0.4335151768	0.822272216
132	0.4327917985	0.822272216
133	0.4321832935	0.822272216
134	0.4316350362	0.8233970754
135	0.430882677	0.8256467942
136	0.4301930139	0.8256467942
137	0.4296126987	0.8256467942
138	0.4288938381	0.8256467942
139	0.4283651131	0.8256467942
140	0.4276636399	0.8245219348
141	0.4274800866	0.8256467942
142	0.4268984326	0.8256467942
143	0.4265186874	0.8256467942
144	0.4260685449	0.8245219348
145	0.4254901977	0.8256467942
146	0.4254331873	0.8256467942
147	0.4246294973	0.8256467942
148	0.4242610402	0.8267716535
149	0.4240034191	0.8256467942
150	0.4238212556	0.8256467942
151	0.4234760088	0.8256467942
152	0.4232496047	0.8245219348
153	0.4228939843	0.8245219348
154	0.4224307778	0.8256467942
155	0.4222518625	0.8256467942
156	0.422021798	0.8256467942
157	0.4214526711	0.8256467942
158	0.4210588805	0.8256467942
159	0.4206431006	0.8256467942
160	0.4202081362	0.8256467942
161	0.4197960983	0.8233970754
162	0.4192186733	0.8233970754
163	0.4189797964	0.8245219348
164	0.4185505704	0.8245219348
165	0.4181048007	0.8245219348
166	0.4178141436	0.8256467942
167	0.4174967427	0.8256467942
168	0.4172305623	0.8267716535
169	0.4167822758	0.8256467942
170	0.4162348781	0.8245219348
171	0.415761239	0.8256467942
172	0.4154182504	0.8256467942
173	0.4149516122	0.8245219348
174	0.4146057258	0.8245219348
175	0.4142254351	0.8245219348
176	0.4138221781	0.8245219348
177	0.4137235406	0.8256467942
178	0.4134276082	0.8256467942
179	0.4131011946	0.8256467942
180	0.4128199992	0.8256467942
181	0.4123821395	0.8256467942
182	0.4119012581	0.8256467942
183	0.4116483092	0.8256467942
184	0.4113090076	0.8267716535
185	0.4112711041	0.8267716535
186	0.4111393475	0.8267716535
187	0.4110131438	0.8267716535
188	0.4106484336	0.8256467942
189	0.4101516474	0.8267716535
190	0.4098092266	0.8278965129
191	0.4092681497	0.8278965129
192	0.4090812615	0.8278965129
193	0.4084429222	0.8278965129
194	0.4080601393	0.8278965129
195	0.4078133711	0.8278965129
196	0.4074926334	0.8278965129
197	0.4071077881	0.8278965129
198	0.406631789	0.8290213723
199	0.4063427122	0.8290213723
200	0.4059749904	0.8278965129
201	0.4057003701	0.8278965129
202	0.4055065251	0.8290213723
203	0.4052151362	0.8278965129
204	0.4048427187	0.8278965129
205	0.4045686852	0.8290213723
206	0.4041066643	0.8278965129
207	0.4037682452	0.8290213723
208	0.4033824753	0.8278965129
209	0.4030307394	0.8278965129
210	0.4027495141	0.8278965129
211	0.4026626937	0.8278965129
212	0.4025009574	0.8278965129
213	0.4021572681	0.8278965129
214	0.4021266388	0.8278965129
215	0.4014119337	0.8290213723
216	0.4011193642	0.8278965129
217	0.4010466808	0.8278965129
218	0.4004606114	0.8278965129
219	0.4000220022	0.8278965129
220	0.3998093877	0.8290213723
221	0.3993688566	0.8278965129
222	0.3990478924	0.8290213723
223	0.3987464406	0.8290213723
224	0.3983013623	0.8278965129
225	0.3980230567	0.8278965129
226	0.3977544408	0.8278965129
227	0.3972110293	0.8290213723
228	0.3969077192	0.8290213723
229	0.3965353543	0.8290213723
230	0.3962627365	0.8290213723
231	0.3959896598	0.8290213723
232	0.395872812	0.8290213723
233	0.395660323	0.8290213723
234	0.3949286887	0.8290213723
235	0.3946503099	0.8290213723
236	0.3942008422	0.8290213723
237	0.3940671047	0.8290213723
238	0.3938171729	0.8301462317
239	0.3936001935	0.8290213723
240	0.3933546733	0.8290213723
241	0.3933093858	0.8290213723
242	0.3930119951	0.8290213723
243	0.3927682319	0.8290213723
244	0.392522547	0.8278965129
245	0.3924671966	0.8290213723
246	0.3923300207	0.8290213723
247	0.3919728441	0.8290213723
248	0.3919230772	0.8290213723
249	0.3917919486	0.8290213723
250	0.3916797147	0.8290213723
251	0.3912980155	0.8290213723
252	0.3909670427	0.8290213723
253	0.3908506719	0.8290213723
254	0.3906560356	0.8301462317
255	0.390391779	0.8312710911
256	0.3900680129	0.8312710911
257	0.3900599517	0.8312710911
258	0.3897624485	0.8312710911
259	0.389513272	0.8301462317
260	0.3893195498	0.8312710911
261	0.3891247265	0.8312710911
262	0.3890544021	0.8312710911
263	0.3890461312	0.8312710911
264	0.3888727453	0.8312710911
265	0.3886832392	0.8312710911
266	0.3883141781	0.8312710911
267	0.3880701709	0.8312710911
268	0.3876490268	0.8312710911
269	0.3873388451	0.8312710911
270	0.3872372414	0.8312710911
271	0.3870374629	0.8312710911
272	0.3869144048	0.8312710911
273	0.3869059991	0.8312710911
274	0.3866856826	0.8312710911
275	0.38640298	0.8312710911
