iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	198	224	198	340	198	224	340
1	218	269	218	340	218	269	340
2	212	254	212	340	212	254	340
3	212	254	212	340	212	254	340
4	221	273	221	340	221	273	340
5	221	273	221	340	221	273	340
6	216	260	216	340	216	260	340
7	221	273	221	340	221	273	340
8	223	277	223	340	223	277	340
9	223	277	223	340	223	277	340
10	223	277	223	340	223	277	340
11	223	277	223	340	223	277	340
12	215	260	215	340	215	260	340
13	215	259	215	340	215	259	340
14	215	259	215	340	215	259	340
15	212	254	212	340	212	254	340
16	212	254	212	340	212	254	340
17	215	260	215	340	215	260	340
18	215	259	215	340	215	259	340
19	215	259	215	340	215	259	340
20	215	259	215	340	215	259	340
21	223	278	223	340	223	278	340
22	215	259	215	340	215	259	340
23	220	273	220	340	220	273	340
24	212	256	212	340	212	256	340
25	217	269	217	340	217	269	340
26	212	255	212	340	212	255	340
27	212	255	212	340	212	255	340
28	212	256	212	340	212	256	340
29	217	268	217	340	217	268	340
30	217	269	217	340	217	269	340
31	212	255	212	340	212	255	340
32	212	255	212	340	212	255	340
33	212	254	212	340	212	254	340
34	212	254	212	340	212	254	340
35	212	254	212	340	212	254	340
36	212	254	212	340	212	254	340
37	212	255	212	340	212	255	340
38	217	267	217	340	217	267	340
39	217	267	217	340	217	267	340
40	212	254	212	340	212	254	340
41	217	267	217	340	217	267	340
42	217	267	217	340	217	267	340
43	217	267	217	340	217	267	340
44	217	267	217	340	217	267	340
45	217	267	217	340	217	267	340
46	217	267	217	340	217	267	340
47	217	267	217	340	217	267	340
48	217	267	217	340	217	267	340
49	212	254	212	340	212	254	340
50	212	254	212	340	212	254	340
51	212	254	212	340	212	254	340
52	212	254	212	340	212	254	340
53	212	254	212	340	212	254	340
54	220	271	220	340	220	271	340
55	220	271	220	340	220	271	340
56	220	271	220	340	220	271	340
57	220	271	220	340	220	271	340
58	220	271	220	340	220	271	340
59	223	276	223	340	223	276	340
60	223	276	223	340	223	276	340
61	223	276	223	340	223	276	340
62	223	276	223	340	223	276	340
63	223	276	223	340	223	276	340
64	223	276	223	340	223	276	340
65	223	276	223	340	223	276	340
66	223	276	223	340	223	276	340
67	223	276	223	340	223	276	340
68	223	276	223	340	223	276	340
69	223	276	223	340	223	276	340
70	223	276	223	340	223	276	340
71	223	276	223	340	223	276	340
72	223	276	223	340	223	276	340
73	223	276	223	340	223	276	340
74	223	276	223	340	223	276	340
75	223	276	223	340	223	276	340
76	223	276	223	340	223	276	340
77	218	263	218	340	218	263	340
78	218	263	218	340	218	263	340
79	218	263	218	340	218	263	340
80	218	263	218	340	218	263	340
81	218	263	218	340	218	263	340
82	218	263	218	340	218	263	340
83	218	263	218	340	218	263	340
84	215	258	215	340	215	258	340
85	215	258	215	340	215	258	340
86	220	271	220	340	220	271	340
87	215	258	215	340	215	258	340
88	220	271	220	340	220	271	340
89	215	258	215	340	215	258	340
90	218	263	218	340	218	263	340
91	220	271	220	340	220	271	340
92	220	271	220	340	220	271	340
93	220	271	220	340	220	271	340
94	220	271	220	340	220	271	340
95	220	271	220	340	220	271	340
96	217	261	217	340	217	261	340
97	218	261	218	340	218	261	340
98	218	261	218	340	218	261	340
99	218	261	218	340	218	261	340
100	218	261	218	340	218	261	340
101	218	261	218	340	218	261	340
102	218	260	218	340	218	260	340
103	218	260	218	340	218	260	340
104	218	260	218	340	218	260	340
105	222	264	222	340	222	264	340
106	222	264	222	340	222	264	340
107	222	264	222	340	222	264	340
108	222	264	222	340	222	264	340
109	222	264	222	340	222	264	340
110	223	265	223	340	223	265	340
111	223	265	223	340	223	265	340
112	223	265	223	340	223	265	340
113	223	265	223	340	223	265	340
114	223	265	223	340	223	265	340
115	224	267	224	340	224	267	340
116	224	267	224	340	224	267	340
117	224	267	224	340	224	267	340
118	224	267	224	340	224	267	340
119	224	267	224	340	224	267	340
120	224	267	224	340	224	267	340
121	225	268	225	340	225	268	340
122	225	267	225	340	225	267	340
123	225	267	225	340	225	267	340
124	226	268	226	340	226	268	340
125	225	267	225	340	225	267	340
126	225	267	225	340	225	267	340
127	225	268	225	340	225	268	340
128	225	268	225	340	225	268	340
129	226	269	226	340	226	269	340
130	226	269	226	340	226	269	340
131	226	269	226	340	226	269	340
132	226	269	226	340	226	269	340
133	226	268	226	340	226	268	340
134	225	263	225	340	225	263	340
135	225	262	225	340	225	262	340
136	225	262	225	340	225	262	340
137	225	262	225	340	225	262	340
