iter	Passed	Remaining
0	61	61397
1	66	32965
2	70	23592
3	74	18661
4	80	16011
5	82	13634
6	86	12254
7	89	11133
8	93	10296
9	95	9473
10	100	8998
11	104	8566
12	107	8167
13	111	7831
14	114	7519
15	118	7316
16	121	7043
17	125	6838
18	128	6657
19	132	6478
20	135	6321
21	136	6077
22	139	5932
23	143	5821
24	146	5712
25	149	5612
26	152	5513
27	154	5360
28	157	5275
29	160	5176
30	163	5106
31	166	5039
32	169	4978
33	171	4882
34	175	4827
35	178	4772
36	181	4716
37	183	4649
38	186	4601
39	190	4566
40	196	4604
41	200	4565
42	202	4496
43	203	4413
44	204	4339
45	207	4306
46	209	4248
47	211	4191
48	214	4162
49	218	4143
50	221	4119
51	224	4094
52	227	4070
53	231	4050
54	232	3991
55	235	3972
56	238	3951
57	242	3932
58	243	3880
59	244	3829
60	245	3783
61	246	3734
62	248	3691
63	249	3655
64	253	3653
65	257	3640
66	260	3629
67	263	3614
68	266	3598
69	269	3586
70	273	3574
71	276	3563
72	279	3552
73	283	3541
74	285	3527
75	289	3516
76	292	3505
77	295	3495
78	298	3484
79	301	3471
80	304	3458
81	307	3447
82	309	3416
83	312	3404
84	315	3395
85	318	3387
86	319	3356
87	323	3348
88	324	3319
89	327	3310
90	330	3303
91	333	3295
92	336	3286
93	340	3279
94	343	3268
95	345	3256
96	348	3247
97	352	3240
98	354	3225
99	357	3217
100	360	3212
101	363	3201
102	366	3191
103	369	3181
104	372	3171
105	375	3165
106	378	3155
107	380	3146
108	383	3136
109	385	3115
110	387	3105
111	392	3108
112	394	3099
113	397	3090
114	400	3084
115	403	3077
116	406	3070
117	410	3066
118	413	3058
119	416	3052
120	418	3043
121	421	3036
122	425	3030
123	427	3023
124	431	3017
125	434	3011
126	437	3006
127	439	2997
128	443	2994
129	447	2995
130	451	2995
131	454	2988
132	457	2982
133	460	2978
134	463	2970
135	466	2963
136	469	2958
137	473	2955
138	476	2951
139	479	2946
140	482	2940
141	484	2925
142	487	2919
143	489	2911
144	492	2905
145	495	2897
146	496	2881
147	499	2876
148	502	2870
149	505	2865
150	507	2853
151	510	2849
152	513	2842
153	515	2834
154	518	2828
155	520	2814
156	523	2809
157	526	2805
158	529	2799
159	532	2796
160	535	2792
161	538	2787
162	542	2783
163	544	2778
164	548	2774
165	551	2770
166	554	2765
167	557	2759
168	560	2754
169	563	2749
170	566	2745
171	569	2740
172	571	2730
173	574	2725
174	577	2721
175	581	2723
176	585	2720
177	586	2707
178	589	2702
179	592	2700
180	595	2695
181	598	2691
182	601	2686
183	604	2681
184	607	2676
185	608	2664
186	618	2690
187	620	2681
188	627	2690
189	632	2698
190	639	2710
191	648	2727
192	654	2736
193	661	2746
194	668	2761
195	674	2765
196	681	2776
197	692	2805
198	698	2809
199	702	2810
200	709	2821
201	715	2824
202	720	2830
203	735	2870
204	741	2873
205	746	2875
206	756	2897
207	761	2901
208	771	2920
209	776	2922
210	781	2923
211	784	2916
212	788	2915
213	794	2916
214	796	2906
215	801	2907
216	805	2906
217	808	2901
218	814	2905
219	820	2908
220	826	2912
221	830	2911
222	835	2909
223	838	2905
224	841	2899
225	844	2893
226	848	2889
227	851	2884
228	855	2879
229	858	2875
230	862	2871
231	866	2866
232	868	2860
233	871	2854
234	875	2849
235	881	2855
236	885	2849
237	888	2843
238	891	2837
239	896	2838
240	901	2840
241	903	2830
242	906	2824
243	909	2819
244	912	2812
245	915	2804
246	917	2797
247	921	2793
248	922	2782
249	925	2777
250	928	2770
251	934	2775
252	942	2781
253	944	2775
254	947	2769
255	950	2762
256	954	2758
257	955	2746
258	958	2743
259	961	2737
260	964	2731
261	968	2728
262	975	2734
263	977	2724
264	997	2765
265	1000	2761
266	1004	2758
267	1007	2753
268	1011	2748
269	1014	2742
270	1017	2737
271	1020	2731
272	1023	2725
273	1024	2715
274	1029	2714
275	1033	2710
276	1035	2704
277	1038	2698
278	1041	2692
279	1044	2686
280	1046	2678
281	1049	2672
282	1053	2668
283	1056	2662
284	1059	2656
285	1062	2653
286	1064	2643
287	1067	2639
288	1070	2634
289	1073	2629
290	1075	2619
291	1078	2614
292	1081	2608
293	1084	2604
294	1085	2595
295	1089	2590
296	1093	2588
297	1096	2583
298	1099	2578
299	1102	2572
300	1105	2567
301	1108	2561
302	1111	2557
303	1115	2553
304	1118	2548
305	1121	2543
306	1124	2538
307	1127	2533
308	1130	2528
309	1134	2524
310	1136	2518
311	1139	2513
312	1143	2508
313	1146	2503
314	1150	2501
315	1153	2496
316	1156	2490
317	1158	2485
318	1164	2486
319	1168	2482
320	1171	2477
321	1174	2473
322	1177	2468
323	1179	2461
324	1181	2453
325	1184	2449
326	1188	2445
327	1191	2441
328	1194	2437
329	1198	2433
330	1199	2424
331	1202	2419
332	1205	2414
333	1209	2411
334	1212	2406
335	1214	2400
336	1217	2395
337	1222	2394
338	1226	2390
339	1227	2382
340	1228	2374
341	1232	2371
342	1236	2367
343	1239	2363
344	1242	2358
345	1243	2350
346	1247	2346
347	1251	2344
348	1254	2340
349	1255	2332
350	1259	2329
351	1263	2325
352	1266	2320
353	1269	2316
354	1272	2311
355	1275	2307
356	1278	2302
357	1279	2294
358	1282	2289
359	1285	2285
360	1286	2277
361	1290	2273
362	1293	2269
363	1294	2261
364	1297	2256
365	1300	2252
366	1303	2248
367	1306	2244
368	1309	2239
369	1311	2232
370	1313	2227
371	1316	2223
372	1319	2217
373	1322	2212
374	1325	2208
375	1328	2204
376	1331	2199
377	1333	2195
378	1335	2187
379	1337	2183
380	1341	2179
381	1344	2175
382	1347	2170
383	1350	2166
384	1354	2163
385	1358	2160
386	1361	2155
387	1363	2151
388	1366	2146
389	1369	2141
390	1371	2135
391	1374	2131
392	1377	2126
393	1380	2122
394	1383	2119
395	1385	2113
396	1388	2109
397	1391	2104
398	1394	2101
399	1397	2096
400	1401	2093
401	1404	2089
402	1405	2082
403	1408	2078
404	1414	2078
405	1416	2073
406	1420	2069
407	1423	2065
408	1426	2061
409	1428	2055
410	1431	2051
411	1434	2046
412	1437	2042
413	1440	2038
414	1444	2036
415	1447	2032
416	1452	2031
417	1453	2024
418	1456	2019
419	1459	2015
420	1462	2011
421	1465	2007
422	1468	2003
423	1471	1999
424	1474	1994
425	1477	1991
426	1480	1986
427	1482	1981
428	1486	1978
429	1489	1974
430	1492	1970
431	1496	1966
432	1499	1963
433	1502	1959
434	1505	1955
435	1510	1953
436	1513	1949
437	1515	1945
438	1519	1941
439	1522	1937
440	1524	1932
441	1527	1928
442	1530	1923
443	1532	1919
444	1537	1917
445	1539	1912
446	1541	1906
447	1543	1901
448	1546	1897
449	1549	1893
450	1552	1889
451	1555	1885
452	1558	1881
453	1561	1877
454	1564	1874
455	1568	1870
456	1569	1864
457	1570	1858
458	1572	1853
459	1574	1847
460	1576	1843
461	1579	1839
462	1581	1834
463	1584	1830
464	1586	1825
465	1589	1821
466	1591	1816
467	1594	1812
468	1596	1807
469	1599	1803
470	1602	1799
471	1604	1794
472	1607	1791
473	1611	1788
474	1614	1784
475	1617	1780
476	1620	1776
477	1623	1772
478	1626	1769
479	1629	1765
480	1632	1762
481	1635	1757
482	1637	1753
483	1638	1747
484	1641	1742
485	1642	1736
486	1644	1732
487	1647	1728
